Date,Team,PTS,Opp,PTS
Sat Jan 20 2024,Peristeri bwin,81,Promitheas Patras,75
Sun Jan 21 2024,Maroussi,84,ASK Karditsas Iaponiki,87
Sun Jan 21 2024,Lavrio Megabolt,65,PAOK mateco,66
Sun Jan 21 2024,Apollon Patras Carna,60,Kolossos H Hotels,88
Mon Jan 22 2024,Olympiacos,80,Panathinaikos,85
Sat Jan 27 2024,AEK Athens,95,ASK Karditsas Iaponiki,86
Sat Jan 27 2024,Promitheas Patras,84,Lavrio Megabolt,89
Sat Jan 27 2024,PAOK mateco,62,Olympiacos,77
Sat Jan 27 2024,Maroussi,72,Peristeri bwin,95
Sun Jan 28 2024,Panathinaikos,87,Apollon Patras Carna,55
Sun Jan 28 2024,Kolossos H Hotels,91,Aris Midea,98
Sat Feb 3 2024,Lavrio Megabolt,,Maroussi,
Sat Feb 3 2024,Apollon Patras Carna,70,PAOK mateco,85
Sat Feb 3 2024,AEK Athens,,Kolossos H Hotels,
Sat Feb 3 2024,AEK Athens,80,Kolossos H Hotels,103
Sun Feb 4 2024,Peristeri bwin,95,ASK Karditsas Iaponiki,84
Sun Feb 4 2024,Olympiacos,81,Promitheas Patras,57
Mon Feb 5 2024,Aris Midea,73,Panathinaikos,70
Mon Feb 5 2024,Lavrio Megabolt,75,Maroussi,71
Sat Feb 10 2024,Promitheas Patras,84,Apollon Patras Carna,56
Sat Feb 10 2024,Kolossos H Hotels,69,ASK Karditsas Iaponiki,87
Sun Feb 11 2024,PAOK mateco,63,Aris Midea,77
Sun Feb 11 2024,Peristeri bwin,86,Lavrio Megabolt,64
Sun Feb 11 2024,Maroussi,87,Olympiacos,93
Mon Feb 12 2024,Panathinaikos,89,AEK Athens,69
Sat Mar 2 2024,ASK Karditsas Iaponiki,57,Lavrio Megabolt,76
Sat Mar 2 2024,AEK Athens,94,PAOK mateco,85
Sat Mar 2 2024,Aris Midea,57,Promitheas Patras,70
Sun Mar 3 2024,Kolossos H Hotels,73,Panathinaikos,96
Mon Mar 4 2024,Apollon Patras Carna,73,Maroussi,99
Mon Mar 4 2024,Olympiacos,85,Peristeri bwin,67
Sat Mar 9 2024,Promitheas Patras,91,AEK Athens,87
Sat Mar 9 2024,Peristeri bwin,74,Apollon Patras Carna,63
Sat Mar 9 2024,Lavrio Megabolt,63,Olympiacos,84
Sun Mar 10 2024,Maroussi,73,Aris Midea,67
Sun Mar 10 2024,Panathinaikos,87,ASK Karditsas Iaponiki,64
Sun Mar 10 2024,PAOK mateco,79,Kolossos H Hotels,95
Sat Mar 16 2024,AEK Athens,90,Maroussi,82
Sat Mar 16 2024,ASK Karditsas Iaponiki,73,Olympiacos,85
Sat Mar 16 2024,Aris Midea,62,Peristeri bwin,84
Sat Mar 16 2024,Kolossos H Hotels,79,Promitheas Patras,84
Sun Mar 17 2024,Apollon Patras Carna,75,Lavrio Megabolt,82
Sun Mar 17 2024,Panathinaikos,89,PAOK mateco,73
Sat Mar 23 2024,Peristeri bwin,101,AEK Athens,97
Sat Mar 23 2024,Lavrio Megabolt,60,Aris Midea,84
Sun Mar 24 2024,Olympiacos,93,Apollon Patras Carna,63
Sun Mar 24 2024,PAOK mateco,78,ASK Karditsas Iaponiki,97
Sun Mar 24 2024,Maroussi,85,Kolossos H Hotels,89
Mon Mar 25 2024,Promitheas Patras,62,Panathinaikos,93
Sat Mar 30 2024,Kolossos H Hotels,90,Peristeri bwin,98
Sun Mar 31 2024,Aris Midea,77,Olympiacos,85
Sun Mar 31 2024,Promitheas Patras,,Panathinaikos,
Sun Apr 7 2024,Peristeri bwin,83,Olympiacos,91
Sun Apr 7 2024,Aris Midea,51,Promitheas Patras,84
Mon Apr 8 2024,Panathinaikos,79,Kolossos H Hotels,74
Sat Apr 13 2024,Aris Midea,82,Peristeri bwin,75
Sat Apr 13 2024,Kolossos H Hotels,73,Promitheas Patras,96
Mon Apr 15 2024,Olympiacos,71,Panathinaikos,77
Thu Apr 18 2024,Promitheas Patras,69,Olympiacos,80
Fri Apr 19 2024,Peristeri bwin,88,Panathinaikos,93
Sat Apr 20 2024,Kolossos H Hotels,69,Aris Midea,60
Tue Apr 30 2024,Panathinaikos,,Aris Midea,
Tue Apr 30 2024,Promitheas Patras,,Peristeri bwin,
Tue Apr 30 2024,Olympiacos,,Kolossos H Hotels,
Fri May 10 2024,Promitheas Patras,82,Panathinaikos,90
Sun May 12 2024,Promitheas Patras,94,Peristeri bwin,92
Sun May 12 2024,Olympiacos,100,Kolossos H Hotels,66
Mon May 13 2024,Panathinaikos,80,Aris Midea,68
