,Regu,Regu,Regu,Regu,Regu,Regu
,W,L,W/L%,GB,PS/G,PA/G
Panathinaikos OPAP *,20,2,.909,-,71.7,71.7
Lavrio Megabolt *,17,5,.773,3.0,78.3,78.3
Promitheas Patras *,16,6,.727,4.0,76.2,76.2
AEK Athens *,14,8,.636,6.0,72.4,72.4
PAOK *,13,9,.591,7.0,75.2,75.2
Peristeri *,11,11,.500,9.0,71.0,71.0
Kolossos H Hotels *,8,14,.364,12.0,77.4,77.4
Ionikos Hellenic Coin *,8,14,.364,12.0,81.3,81.3
Aris,7,15,.318,13.0,77.5,77.5
Iraklis,7,15,.318,13.0,80.4,80.4
Larisa Bread factory,6,16,.273,14.0,77.6,77.6
Messolonghi BAXI,5,17,.227,15.0,82.7,82.7
