,Regu,Regu,Regu,Regu,Regu,Regu
,W▼,L,W/L%,GB,PS/G,PA/G
Panathinaikos *,21,1,.955,-,86.0,69.2
Olympiacos *,20,2,.909,1.0,85.1,68.0
Peristeri bwin *,15,7,.682,6.0,82.3,73.9
Promitheas Patras *,13,9,.591,8.0,83.6,80.6
Aris Midea *,12,10,.545,9.0,76.4,75.7
AEK Athens *,9,13,.409,12.0,86.8,86.3
Kolossos H Hotels *,9,13,.409,12.0,81.9,84.6
PAOK mateco *,8,14,.364,13.0,73.4,80.2
Lavrio Megabolt,8,14,.364,13.0,75.3,84.2
Maroussi,7,15,.318,14.0,81.9,87.3
ASK Karditsas Iaponiki,7,15,.318,14.0,75.0,80.0
Apollon Patras Carna,3,19,.136,18.0,66.4,84.0
