,Regu,Regu,Regu,Regu,Regu,Regu
,W▼,L,W/L%,GB,PS/G,PA/G
Olympiacos *,22,0,1.000,-,88.2,68.1
Panathinaikos *,16,6,.727,6.0,84.6,71.4
Peristeri bwin *,14,8,.636,8.0,80.5,75.3
PAOK mateco *,13,9,.591,9.0,80.2,77.3
Promitheas Patras *,12,10,.545,10.0,76.7,77.6
AEK Athens *,12,10,.545,10.0,75.8,76.6
Kolossos H Hotels *,11,11,.500,11.0,74.7,75.4
Aris *,11,11,.500,11.0,78.9,76.3
Lavrio Megabolt,7,15,.318,15.0,72.9,79.0
ASK Karditsas,5,17,.227,17.0,72.0,81.8
Apollon Patras,5,17,.227,17.0,69.5,79.3
Ionikos,4,18,.182,18.0,73.8,90.4
