,Regu,Regu,Regu,Regu,Regu,Regu
,W▼,L,W/L%,GB,PS/G,PA/G
Panathinaikos *,22,0,1.000,-,93.9,76.1
Olympiacos *,20,2,.909,2.0,89.3,73.5
AEK Athens *,14,8,.636,8.0,85.0,81.0
Promitheas Patras *,11,11,.500,11.0,81.4,82.5
ASK Karditsas Iaponiki *,11,11,.500,11.0,76.5,78.4
PAOK mateco *,10,12,.455,12.0,79.0,82.3
Aris Midea,9,13,.409,13.0,77.2,83.6
Panionios *,9,13,.409,13.0,77.1,79.0
Peristeri bwin *,8,14,.364,14.0,76.2,82.3
Lavrio Megabolt,7,15,.318,15.0,80.0,85.1
Kolossos H Hotels,6,16,.273,16.0,78.2,81.7
Maroussi,5,17,.227,17.0,77.5,85.7
