Date,Team,PTS,Opp,PTS
Thu Apr 20 2023,Aris,73,Olympiacos,97
Sat Apr 22 2023,Olympiacos,82,Aris,58
Sat Apr 22 2023,Kolossos H Hotels,76,Panathinaikos,85
Sun Apr 23 2023,Promitheas Patras,75,PAOK mateco,78
Sun Apr 23 2023,AEK Athens,73,Peristeri bwin,87
Wed Apr 26 2023,PAOK mateco,63,Promitheas Patras,77
Wed Apr 26 2023,Panathinaikos,89,Kolossos H Hotels,47
Thu Apr 27 2023,Peristeri bwin,113,AEK Athens,99
Sun Apr 30 2023,Promitheas Patras,78,PAOK mateco,81
Sat May 13 2023,PAOK mateco,65,Olympiacos,83
Mon May 15 2023,Peristeri bwin,57,Panathinaikos,101
Sat May 20 2023,Panathinaikos,58,Peristeri bwin,73
Tue May 23 2023,Peristeri bwin,80,Panathinaikos,89
Thu May 25 2023,Olympiacos,97,PAOK mateco,77
Sat May 27 2023,Panathinaikos,71,Peristeri bwin,76
Sun May 28 2023,PAOK mateco,54,Olympiacos,75
Tue May 30 2023,Peristeri bwin,67,Panathinaikos,81
Sat Jun 3 2023,PAOK mateco,65,Peristeri bwin,71
Sun Jun 4 2023,Panathinaikos,70,Olympiacos,73
Wed Jun 7 2023,Peristeri bwin,81,PAOK mateco,64
Thu Jun 8 2023,Olympiacos,65,Panathinaikos,67
Sat Jun 10 2023,PAOK mateco,51,Peristeri bwin,73
Sun Jun 11 2023,Panathinaikos,52,Olympiacos,75
Thu Jun 15 2023,Olympiacos,20,Panathinaikos,
