Date,Team,PTS,Opp,PTS
Tue May 11 2021,PAOK,89,AEK Athens,102
Tue May 11 2021,Kolossos H Hotels,68,Lavrio Megabolt,87
Wed May 12 2021,Ionikos Hellenic Coin,64,Panathinaikos OPAP,102
Wed May 12 2021,Peristeri,83,Promitheas Patras,66
Thu May 13 2021,AEK Athens,73,PAOK,81
Thu May 13 2021,Lavrio Megabolt,88,Kolossos H Hotels,84
Fri May 14 2021,Panathinaikos OPAP,90,Ionikos Hellenic Coin,61
Fri May 14 2021,Promitheas Patras,90,Peristeri,79
Sun May 16 2021,PAOK,81,AEK Athens,87
Mon May 17 2021,Peristeri,58,Promitheas Patras,86
Wed May 19 2021,AEK Athens,72,Panathinaikos OPAP,78
Thu May 20 2021,Promitheas Patras,86,Lavrio Megabolt,79
Fri May 21 2021,Panathinaikos OPAP,80,AEK Athens,92
Sat May 22 2021,Lavrio Megabolt,66,Promitheas Patras,68
Sun May 23 2021,AEK Athens,83,Panathinaikos OPAP,94
Mon May 24 2021,Promitheas Patras,79,Lavrio Megabolt,85
Wed May 26 2021,Panathinaikos OPAP,78,AEK Athens,71
Thu May 27 2021,Lavrio Megabolt,92,Promitheas Patras,77
Sat May 29 2021,Promitheas Patras,74,Lavrio Megabolt,81
Wed Jun 2 2021,AEK Athens,73,Promitheas Patras,77
Thu Jun 3 2021,Lavrio Megabolt,72,Panathinaikos OPAP,100
Fri Jun 4 2021,Promitheas Patras,101,AEK Athens,113
Sat Jun 5 2021,Panathinaikos OPAP,89,Lavrio Megabolt,94
Sun Jun 6 2021,AEK Athens,81,Promitheas Patras,80
Mon Jun 7 2021,Lavrio Megabolt,74,Panathinaikos OPAP,103
Wed Jun 9 2021,Promitheas Patras,72,AEK Athens,95
Thu Jun 10 2021,Panathinaikos OPAP,82,Lavrio Megabolt,66
