Date,Team,PTS,Opp,PTS

Sat Mar 30 2024,Kolossos H Hotels,90,Peristeri bwin,98
Sun Mar 31 2024,Aris Midea,77,Olympiacos,85
Sun Mar 31 2024,Promitheas Patras,,Panathinaikos,
Sun Apr 7 2024,Peristeri bwin,83,Olympiacos,91
Sun Apr 7 2024,Aris Midea,51,Promitheas Patras,84
Mon Apr 8 2024,Panathinaikos,79,Kolossos H Hotels,74
Sat Apr 13 2024,Aris Midea,82,Peristeri bwin,75
Sat Apr 13 2024,Kolossos H Hotels,73,Promitheas Patras,96
Mon Apr 15 2024,Olympiacos,71,Panathinaikos,77
Thu Apr 18 2024,Promitheas Patras,69,Olympiacos,80
Fri Apr 19 2024,Peristeri bwin,88,Panathinaikos,93
Sat Apr 20 2024,Kolossos H Hotels,69,Aris Midea,60
Tue Apr 30 2024,Panathinaikos,,Aris Midea,
Tue Apr 30 2024,Promitheas Patras,,Peristeri bwin,
Tue Apr 30 2024,Olympiacos,,Kolossos H Hotels,
Fri May 10 2024,Promitheas Patras,82,Panathinaikos,90
Sun May 12 2024,Promitheas Patras,94,Peristeri bwin,92
Sun May 12 2024,Olympiacos,100,Kolossos H Hotels,66
Mon May 13 2024,Panathinaikos,80,Aris Midea,68
Sat Mar 30 2024,Apollon Patras Carna,63,PAOK mateco,87
Sun Mar 31 2024,ASK Karditsas Iaponiki,95,Lavrio Megabolt,88
Mon Apr 1 2024,Maroussi,85,AEK Athens,88
Sat Apr 6 2024,AEK Athens,79,Apollon Patras Carna,89
Sat Apr 6 2024,PAOK mateco,85,Lavrio Megabolt,89
Mon Apr 8 2024,ASK Karditsas Iaponiki,70,Maroussi,91
Sat Apr 13 2024,Apollon Patras Carna,73,Maroussi,77
Sun Apr 14 2024,Lavrio Megabolt,67,AEK Athens,100
Sun Apr 14 2024,ASK Karditsas Iaponiki,70,PAOK mateco,85
Sun Apr 21 2024,PAOK mateco,91,AEK Athens,99
Sun Apr 21 2024,Apollon Patras Carna,67,ASK Karditsas Iaponiki,95
Mon Apr 22 2024,Maroussi,90,Lavrio Megabolt,76
Sat Apr 27 2024,Lavrio Megabolt,104,Apollon Patras Carna,66
Sat Apr 27 2024,AEK Athens,79,ASK Karditsas Iaponiki,81
Sat Apr 27 2024,Maroussi,62,PAOK mateco,77
Wed May 15 2024,AEK Athens,75,Olympiacos,92
Wed May 15 2024,Kolossos H Hotels,63,Peristeri bwin,79
Thu May 16 2024,PAOK mateco,66,Panathinaikos,84
Fri May 17 2024,Aris Midea,60,Promitheas Patras,79
Sat May 18 2024,Olympiacos,100,AEK Athens,68
Sat May 18 2024,Panathinaikos,99,PAOK mateco,96
Sun May 19 2024,Peristeri bwin,88,Kolossos H Hotels,86
Mon May 20 2024,Promitheas Patras,85,Aris Midea,89
Thu May 23 2024,Aris Midea,88,Promitheas Patras,87
Thu May 30 2024,Peristeri bwin,72,Olympiacos,83
Fri May 31 2024,Aris Midea,71,Panathinaikos,89
Sat Jun 1 2024,Olympiacos,84,Peristeri bwin,71
Sun Jun 2 2024,Panathinaikos,80,Aris Midea,65
Wed Jun 5 2024,Olympiacos,89,Panathinaikos,84
Thu Jun 6 2024,Aris Midea,71,Peristeri bwin,75
Fri Jun 7 2024,Panathinaikos,86,Olympiacos,92
Mon Jun 10 2024,Olympiacos,76,Panathinaikos,83
Wed Jun 12 2024,Panathinaikos,88,Olympiacos,85
Fri Jun 14 2024,Olympiacos,82,Panathinaikos,87
